Time,QuatW,QuatX,QuatY,QuatZ,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatW2,QuatX2,QuatY2,QuatZ2,AccX2,AccY2,AccZ2,GyroX2,GyroY2,GyroZ2



1646,0.00,0.00,0.00,0.00,9.53,-0.77,-1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.28,0.59,-2.09,0.00,0.00,0.00
1666,0.00,0.00,0.00,0.00,9.45,-0.81,-1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.39,0.55,-2.05,0.00,0.00,0.00

1706,0.00,0.00,0.00,0.00,9.48,-0.85,-1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.39,0.59,-2.25,0.00,0.00,0.00
1726,0.63,-0.03,-0.77,0.03,9.48,-0.85,-1.96,0.00,0.00,0.00,0.62,0.02,-0.78,-0.02,9.39,0.59,-2.25,0.00,0.00,0.00

1766,0.63,-0.03,-0.77,0.03,9.37,-0.89,-2.27,0.00,0.00,0.00,0.62,0.02,-0.78,-0.02,9.32,0.55,-2.36,0.00,0.00,0.00
1786,0.63,-0.03,-0.77,0.03,9.37,-0.89,-2.27,0.00,0.00,0.00,0.62,0.02,-0.78,-0.02,9.32,0.55,-2.36,0.00,0.00,0.00
1806,0.63,-0.03,-0.77,0.03,9.45,-0.96,-2.11,0.00,0.00,0.00,0.62,0.02,-0.78,-0.02,9.39,0.63,-2.32,0.00,0.00,0.00
1826,0.63,-0.03,-0.77,0.04,9.45,-0.96,-2.11,0.00,0.00,0.00,0.62,0.02,-0.78,-0.02,9.39,0.63,-2.32,0.00,0.00,0.00
1846,0.63,-0.03,-0.77,0.04,9.37,-0.96,-2.07,0.00,0.00,0.00,0.62,0.02,-0.78,-0.02,9.36,0.52,-2.32,0.00,0.00,0.00
1866,0.63,-0.03,-0.77,0.04,9.37,-0.96,-2.07,0.00,0.00,0.00,0.62,0.02,-0.78,-0.02,9.36,0.52,-2.32,0.00,0.00,0.00
1886,0.63,-0.03,-0.77,0.04,9.37,-0.96,-2.07,0.03,0.00,-0.00,0.62,0.02,-0.78,-0.02,9.39,0.52,-2.25,0.00,0.00,0.00
1906,0.63,-0.03,-0.77,0.04,9.37,-0.96,-2.07,0.03,0.00,-0.00,0.62,0.02,-0.78,-0.02,9.39,0.52,-2.25,0.00,0.00,0.00
1926,0.63,-0.03,-0.77,0.04,9.41,-0.85,-2.15,0.03,0.00,-0.00,0.62,0.02,-0.78,-0.02,9.36,0.52,-2.32,0.00,0.00,0.00
1946,0.63,-0.03,-0.77,0.04,9.41,-0.85,-2.15,0.03,0.00,-0.00,0.62,0.02,-0.78,-0.02,9.36,0.52,-2.32,0.00,0.00,0.00
1966,0.63,-0.03,-0.77,0.04,9.45,-0.85,-2.11,0.03,0.00,-0.00,0.62,0.02,-0.78,-0.02,9.39,0.63,-2.36,0.00,0.00,0.00
1986,0.63,-0.03,-0.77,0.04,9.45,-0.85,-2.11,0.03,0.00,-0.00,0.62,0.02,-0.78,-0.02,9.39,0.63,-2.36,0.00,0.00,0.00
