Time,QuatW,QuatX,QuatY,QuatZ,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatW2,QuatX2,QuatY2,QuatZ2,AccX2,AccY2,AccZ2,GyroX2,GyroY2,GyroZ2



1640,0.00,0.00,0.00,0.00,9.83,-0.50,-1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,2.09,-1.98,0.00,0.00,0.00
1660,0.00,0.00,0.00,0.00,9.79,-0.35,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.16,2.12,-2.05,0.00,0.00,0.00

1700,0.00,0.00,0.00,0.00,9.57,-0.23,-1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.05,2.16,-2.17,0.00,0.00,0.00
1720,0.65,-0.01,-0.76,0.01,9.57,-0.23,-1.57,0.00,0.00,0.00,0.62,0.07,-0.78,-0.09,9.05,2.16,-2.17,0.00,0.00,0.00

1760,0.65,-0.01,-0.76,0.01,9.61,-0.27,-1.69,0.00,0.00,0.00,0.62,0.07,-0.78,-0.09,9.05,2.16,-2.21,0.00,0.00,0.00
1780,0.65,-0.01,-0.76,0.01,9.61,-0.27,-1.69,0.00,0.00,0.00,0.61,0.07,-0.78,-0.09,9.05,2.16,-2.21,0.00,0.00,0.00
1800,0.65,-0.01,-0.76,0.01,9.61,-0.27,-1.69,-0.06,0.00,-0.04,0.61,0.07,-0.78,-0.09,8.97,2.32,-2.36,0.00,0.00,0.00
1820,0.65,-0.01,-0.76,0.01,9.61,-0.27,-1.69,-0.06,0.00,-0.04,0.61,0.07,-0.78,-0.09,8.97,2.32,-2.36,0.00,0.00,0.00
1840,0.65,-0.01,-0.76,0.01,9.56,-0.31,-1.73,-0.06,0.00,-0.04,0.61,0.07,-0.78,-0.09,8.97,2.32,-2.36,-0.08,-0.00,-0.04
1860,0.65,-0.01,-0.76,0.01,9.56,-0.31,-1.73,-0.06,0.00,-0.04,0.61,0.07,-0.78,-0.10,8.97,2.32,-2.36,-0.08,-0.00,-0.04
1880,0.65,-0.01,-0.76,0.01,9.56,-0.31,-1.73,-0.02,-0.00,-0.05,0.61,0.07,-0.78,-0.10,8.89,2.24,-2.29,-0.08,-0.00,-0.04
1900,0.65,-0.01,-0.76,0.01,9.56,-0.31,-1.73,-0.02,-0.00,-0.05,0.61,0.07,-0.78,-0.10,8.89,2.24,-2.29,-0.08,-0.00,-0.04
1920,0.65,-0.01,-0.76,0.01,9.33,-0.39,-1.80,-0.02,-0.00,-0.05,0.61,0.07,-0.78,-0.10,8.97,2.16,-2.25,-0.08,-0.00,-0.04
1940,0.65,-0.01,-0.76,0.01,9.33,-0.39,-1.80,-0.02,-0.00,-0.05,0.62,0.07,-0.78,-0.10,8.97,2.16,-2.25,-0.08,-0.00,-0.04
1960,0.65,-0.01,-0.76,0.01,9.18,1.14,-1.54,-0.02,-0.00,-0.05,0.62,0.07,-0.78,-0.10,8.55,3.31,-2.32,-0.08,-0.00,-0.04
1980,0.65,-0.01,-0.76,0.00,9.18,1.14,-1.54,-0.02,-0.00,-0.05,0.62,0.07,-0.78,-0.10,8.55,3.31,-2.32,-0.08,-0.00,-0.04
