Time,QuatW,QuatX,QuatY,QuatZ,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,QuatW2,QuatX2,QuatY2,QuatZ2,AccX2,AccY2,AccZ2,GyroX2,GyroY2,GyroZ2


1637,0.00,0.00,0.00,0.00,9.45,-2.30,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.51,0.52,-2.21,0.00,0.00,0.00
1657,0.00,0.00,0.00,0.00,9.18,-1.73,-1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.24,0.71,-2.63,0.00,0.00,0.00

1697,0.00,0.00,0.00,0.00,9.10,-1.16,-1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.16,0.52,-2.71,0.00,0.00,0.00
1717,0.63,-0.06,-0.77,0.07,9.10,-1.16,-1.96,0.00,0.00,0.00,0.60,0.02,-0.80,-0.02,9.16,0.52,-2.71,0.00,0.00,0.00

1757,0.63,-0.06,-0.77,0.07,9.10,-1.16,-1.96,0.04,-0.16,0.06,0.60,0.02,-0.80,-0.02,9.16,0.52,-2.71,0.20,-0.04,0.05
1777,0.63,-0.06,-0.77,0.08,9.10,-1.16,-1.96,0.04,-0.16,0.06,0.60,0.02,-0.80,-0.02,9.16,0.52,-2.71,0.20,-0.04,0.05
1797,0.63,-0.06,-0.77,0.08,9.10,-1.16,-1.96,0.08,-0.12,0.03,0.60,0.02,-0.80,-0.02,9.16,0.52,-2.71,0.13,-0.03,0.08
1817,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.08,-0.12,0.03,0.60,0.02,-0.80,-0.01,9.16,0.52,-2.71,0.13,-0.03,0.08
1837,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.00,-0.15,0.09,0.60,0.02,-0.80,-0.01,9.16,0.52,-2.71,0.15,-0.05,0.07
1857,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.00,-0.15,0.09,0.60,0.02,-0.80,-0.01,9.16,0.52,-2.71,0.15,-0.05,0.07
1877,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.10,-0.11,0.07,0.60,0.02,-0.80,-0.01,9.16,0.52,-2.71,0.24,-0.05,0.07
1897,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.10,-0.11,0.07,0.60,0.03,-0.80,-0.00,9.16,0.52,-2.71,0.24,-0.05,0.07
1917,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.08,-0.06,0.04,0.60,0.03,-0.80,-0.00,9.16,0.52,-2.71,0.26,-0.05,0.07
1937,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.08,-0.06,0.04,0.60,0.03,-0.80,-0.00,9.16,0.52,-2.71,0.26,-0.05,0.07
1957,0.62,-0.06,-0.78,0.08,9.10,-1.16,-1.96,0.06,-0.17,0.10,0.60,0.03,-0.80,-0.00,9.16,0.52,-2.71,0.12,-0.04,0.06
1977,0.62,-0.06,-0.78,0.09,9.10,-1.16,-1.96,0.06,-0.17,0.10,0.59,0.03,-0.80,0.00,9.16,0.52,-2.71,0.12,-0.04,0.06
